title,description,filename
Pumpkin,Oil on panel 12x12,01.jpg
Red Bartlet with Marbles,Oil on panel 5x5,02.jpg
Thrush,Oil on panel 8x10,03.jpg
The Beet,Oil on panel 8x10,04.jpg
Currants,Oil on panel 4 1/2x9,05.jpg
Nest and Feather,Oil on panel 10x12,06.jpg
Zinnia in Jar,Oil on panel 3x5,07.jpg
Pumpkin on Berry box,Oil on panel 3x5,08.jpg
Three Ducks of the Apocalypse, Oil on panel 8x8,09.jpg
Plum with marbles,Oil on panel 8x10,10.jpg
Italian plums,Oil on panel 9x12,11.jpg
Heirlooms,Oil on panel 5x7,12.jpg

